client_id,code,name,chi_name,phone_no,address,chi_address
3,TPH,Po Heung Street,寶鄉街,26388557 ,Portion of G/F & 1/F 82 Po Heung Street Tai Po New Territories,新界大埔寶鄉街82號地下及一樓
3,UP,Uptown Plaza,新達廣場,26381681,Shop 079-082 Level 1 Uptown Plaza Tai Po New Territories,新界大埔新達廣場第一期079-082號舖
3,FUS,Fu Shin Estate,富善邨,26646574 ,Shop 123 on 1/F Fu Shin Shopping Centre Fu Shin Estate Tai Po New Territories,新界大埔富善邨富善商場1樓123號舖
3,FUK,Kwong Fuk Lane,廣褔里,26381921 ,Shop 2 on G/F & Cockloft Fuk Cheong Building Nos. 12-14 Kwong Fuk Lane Nos. 5 7 & 19 Kwong Fuk Square Tai Po New Territories,新界大埔廣褔坊57及19號廣褔里12-14號褔昌樓地下2號舖及閣樓
3,REG,Regentville,帝庭軒,26825650 ,Shop No. 27-28 on First Floor Regentville Shopping Mall 8 Wo Mun Street Luen Wo Hui Fanling New Territories,新界粉嶺聯和墟和滿街8號帝庭軒購物商場1樓27-28號舖
3,TPM,Tai Po Mega Mall,大埔超級城,26674533,Shop No. 673 Level 1 Zone D Tai Po Mega Mall Tai Po New Territories,新界大埔超級城D區1樓673號舖
3,FPL,Flora Plaza,花都廣場,26769329 ,Shop Nos. 11-12 and 35-38 on the Ground Floor of Flora Plaza Fanling New Territories,新界粉嶺花都廣場地下11-12及35-38舖
3,CYP,Choi Yuen Plaza,彩園村商場,26390424 ,Shop No. R42 & R43 3/F Choi Yuen Plaza Sheung Shui N.T.,新界上水彩園商場三樓R42&R43號舖
3,SSC,Sheung Shui Centre,上水中心,26714426 ,Shop 2037 Level 2 Sheung Shui Centre 3 Chi Cheong Road Sheung Shui New Territories,新界上水智昌路3號，上水中心二樓，2037號舖
3,SPO,Spot,上水滙,26031378 ,Shop 103 on 1st Floor of Spot 48 Lung Sum Avenue Shek Wu Hui Sheung Shui N.T.,新界上水石湖墟龍琛路48號上水滙1樓103號舖
3,SS,Sheung Shui,上水,26686508 ,G/F & Cockloft 43-45 Fu Hing Street Sheung Shui New Territories,新界上水符興街43-45號地下
3,SSS,Sheung Shui Station,上水站,24137100 ,MTR Station Shop SHS 3 at Sheung Shui Station,港鐵上水站SHS 3號舖
3,STKC,Sha Tau Kok Chuen,沙頭角邨,26559269 ,Shop 1 on G/F Block 16 Sha Tau Kok Chuen Sha Tau Kok New Territories,沙頭角沙頭角邨16座地下1號舖
3,LMC,Lok Ma Chau,落馬洲,34046106 ,MTR Station Shop LMC 115 and Storeroom LMC STR 11 at Lok Ma Chau Station New Territories,港鐵落馬洲站LMC115號舖及LMCSTR11號貨倉
3,SHS,San Hong Street,新康街,26714738 ,G/F & C/L No. 86 San Hong Street North Sheung Shui New Territories,新界上水新康街86號地下及閣樓
3,LMA,Lok Ma Chau Station (Extension),落馬洲2,34046298 ,MTR Station Shop LMC 207 208 and Storeroom LMC STR 12 14 at Lok Ma Chau Station New Territories ,港鐵落馬洲站LMC207208號舖及LMCSTR1214號貨倉
